CO_IBGE	NM_MUNICIPIO	CO_MUNICIPIO
2600203	Afrânio	260020
2603009	Cabrobó	260300
2605152	Dormentes	260515
2608750	Lagoa Grande	260875
2609808	Orocó	260980
2611101	Petrolina	261110
2612604	Santa Maria da Boa Vista	261260
2905909	Campo Alegre de Lourdes	290590
2906824	Canudos	290682
2907202	Casa Nova	290720
2909901	Curaçá	290990
2918407	Juazeiro	291840
2924405	Pilão Arcado	292440
2926004	Remanso	292600
2930204	Sento Sé	293020
2930774	Sobradinho	293077
2932002	Uauá	293200
