CO_IBGE	NM_MUNICIPIO	CO_MUNICIPIO
5100102	Acorizal	510010
5101605	Barão de Melgaço	510160
5103007	Chapada dos Guimarães	510300
5103403	Cuiabá	510340
5104906	Jangada	510490
5106109	Nossa Senhora do Livramento	510610
5106208	Nova Brasilândia	510620
5106455	Planalto da Serra	510645
5106505	Poconé	510650
5107800	Santo Antônio do Leverger	510780
5108402	Várzea Grande	510840
