CO_IBGE	NM_MUNICIPIO	CO_MUNICIPIO
3500907	Altair	350090
3505500	Barretos	350550
3509304	Cajobi	350930
3512001	Colina	351200
3512100	Colômbia	351210
3517406	Guaíra	351740
3517901	Guaraci	351790
3524204	Jaborandi	352420
3533908	Olímpia	353390
3551900	Severínia	355190
