"CO_IBGE"	"NM_MUNICIPIO"	"CO_MUNICIPIO"
1300300	"Autazes"	"130030"
1300409	"Barcelos"	"130040"
1301100	"Careiro"	"130110"
1301159	"Careiro da Várzea"	"130115"
1301852	"Iranduba"	"130185"
1302553	"Manaquiri"	"130255"
1302603	"Manaus"	"130260"
1303106	"Nova Olinda do Norte"	"130310"
1303536	"Presidente Figueiredo"	"130353"
1303569	"Rio Preto da Eva"	"130356"
1303601	"Santa Isabel do Rio Negro"	"130360"
1303809	"São Gabriel da Cachoeira"	"130380"
